Fruta (100g);Calorias (kcal);Carboidratos (g);Proteínas (g);Gorduras (g);Fibras (g);Vitamina C (mg)
Abacaxi;50;13;0.5;0.1;1.4;47.8
Acerola;32;8;0.4;0.3;1.1;1677.6
Ameixa;46;11;0.7;0.3;1.4;9.5
Amora;43;10;1.4;0.5;5.3;21
Banana;89;23;1.1;0.3;2.6;8.7
Caju;43;11;1;0.3;3.3;219
Carambola;31;7;1;0.3;2.8;34.4
Cereja;50;12;1;0.3;1.6;7
Coco;354;15;3.3;33;9;3.3
Cupuaçu;49;10;1;1.2;2.3;25.2
Figo;74;19;0.8;0.3;2.9;2
Framboesa;52;12;1.2;0.7;6.5;26.2
Goiaba;68;14;2.6;0.9;5.4;228
Graviola;66;16;1;0.3;3.3;20.6
Jabuticaba;58;15;0.6;0.2;2.3;22.1
Kiwi;61;15;1.1;0.5;3;92.7
Laranja;47;12;0.9;0.1;2.4;53.2
Limão;29;9;1.1;0.3;2.8;53
Maçã;52;14;0.3;0.2;2.4;4.6
Mamão;43;11;0.5;0.3;1.7;60.9
Manga;60;15;0.8;0.4;1.6;36.4
Maracujá;97;23;2.2;0.7;10.4;30
Mirtilo;57;14;0.7;0.3;2.4;9.7
Morango;32;8;0.7;0.3;2;58.8
Pera;57;15;0.4;0.1;3.1;4.3
Pêssego;39;10;0.9;0.3;1.5;6.6
Pitanga;33;8;0.9;0.4;2.3;26.3
Tamarindo;239;63;2.8;0.6;5.1;3.5
Tangerina;53;13;0.8;0.3;1.8;26.7
Uva;69;18;0.7;0.2;0.9;3.2
